"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"1","Daalman et al.","2012","Childhood trauma and auditory verbal hallucinations",NA,"Case-control",NA,"The Netherlands",NA,224,"100",124,"40.81",13.18,"38.02","11.49","43.06","14.39","22.64",12.22,84,140,44,56,40,84,"DSM-III-R, SCID-II","Psychosis, AVH","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","without AVH did not meet criteria for a Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) diagnosis, as assessed with the Comprehensive Assessment of Symptoms and History (CASH)",2.11844372134103,0.596577357738363,3.64030978938272,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"224",1,"0.375",1,"Unadjusted",0.602893788749717,"PA"
"2","Varese et al.","2012","Dissociation mediates the relationship between childhood trauma and hallucination-proneness",NA,"Case-control",NA,"UK",NA,65,"45",20,"43.05",13.21,"44.63","12.56","39.5","14.6",NA,NA,35,30,24,21,11,9,"Clin, PANSS","SCZ, SAD, delusional disorder","Diagnostic","CATS","CT, PA, SA, EA, NG","Y","No history of hallucinations",1.68519322697397,0.686849391048767,2.68353753898645,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"65",1,"0.538461538",1,"Unadjusted",0.259446816438125,"PA"
"3","Gayer-Anderson et al.","2015","Gender differences in the association between childhood physical and sexual abuse, social support and psychosis","AESOP","Case-control",NA,"UK","1997-2000",468,"202",266,"16每64",NA,NA,NA,NA,NA,NA,NA,205,263,100,102,105,161,"ICD-10","FEP","Diagnostic","CECA-Q","PA, SA","N","No history of psychosis",0.717839793150317,0.198850858745165,1.24126858906963,"Y","Case-control",NA,"Y","N",8,"Good","OR",1,"468",1,"0.438034188",1,"Unadjusted",0.0707149836327842,"PA"
"4","Misiak et al.","2015","Lower LINE-1 methylation in first-episode schizophrenia patients with the history of childhood trauma",NA,"Case-control",NA,"Poland",NA,96,"48",48,"26",4.14,"25.92","5.16","26.08","2.76",NA,NA,44,52,21,27,23,25,"DSM-IV, ICD-10","SCZ","Diagnostic","ETISR-SF","CT, PA, EA, SA","Y","without psychiatric disorder, and matched",1.3793998988406,0.627955112573816,2.13084448005627,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",2,"96",1,"0.458333333",1,"Unadjusted",0.146988003103642,"PA"
"5","Arranz et al.","2018","The relationship between the level of exposure to stress factors and cannabis in recent onset psychosis","EIP, The Early Psychosis Program","Cohort study","3 years","Spain",NA,207,"146",61,"range: 18-35",NA,NA,NA,NA,NA,NA,NA,126,81,94,52,32,29,"DSM-IV","ROP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","Screening for current and past psychotic experiences, mental retardation, substance abuse, severe neurological injury and/or head injury, and pregnancy.",1.52169899812609,0.285178942233663,2.75366071235426,"N","Case-control",NA,"N","N",7,"Good","OR",1,"207",1,"0.608695652",1,"Unadjusted",0.396540650342158,"PA"
"6","Chatziioannidis et al.","2019","The role of attachment anxiety in the relationship between childhood trauma and schizophrenia-spectrum psychosis",NA,"Case-control",NA,"Greece",NA,124,"63",61,"39.89",9.82,"40.44","10.003","39.33","9.621","29.65",9.09,87,37,44,19,43,18,"DSM-IV","SSP","Diagnostic","CECA.Q","CT, PA, SA","Y",NA,1.81482474215905,0.832909122935104,2.79667139275574,"N","Case-control",NA,"N","N",7,"Fair","OR",1,"124",1,"0.701612903",1,"Unadjusted",0.250960683853804,"PA"
"7","LoPilato et al.","2019","Impact of childhood adversity on corticolimbic volumes in youth at clinical high-risk psychosis clinical high-risk for psychosis","NAPLS-2","Case-control",NA,"USA","2009 - 2011",702,"486",216,NA,NA,"18.85","4.2","20.07","4.6",NA,NA,401,301,289,197,112,104,"SIPS high risk status for psychotic symptoms","PEs","Dimensional","Documentation of Trauma Form, a semi-structured interview","CT, PA, EA, EN, SA, BUL, PS","Y","no risk and no psychotic symptoms after screening",2.02022218201986,1.32175583998232,2.71866038021423,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"702",1,"0.571225071",2,"Unadjusted",0.126987602465152,"PA"
"8","Barry et al.","2021","Early life adversity and the specificity of autobiographical memory amongst people with schizophrenia",NA,"Case-control",NA,"Multiple countries","2021",120,"79",41,"42.29",12.62,"44.62","12.74","37.8","12.38","24.05",8.6,NA,NA,NA,NA,NA,NA,"DSM-IV","SCZ","Diagnostic","MACE","CT, PA, EA, EN, SA, PN, BUL","Y","no history of schizophrenia",1.15057202759882,0.451075619360217,1.85002837735203,"N","Case-control","N","N","N",6,"Fair","Mean_SD",1,"#VALUE!",1,NA,1,"Unadjusted",0.127360267798112,"PA"
"9","Kasznia et al.","2021","The Impact of Adverse Childhood Experiences on Coping Strategies in Schizophrenia Spectrum Disorders: A Case-Control Study",NA,"Case-control",NA,"Poland","2016-2020",183,"127",56,NA,NA,"39.1","13.8","38.3","6.8",NA,NA,85,98,61,66,24,32,"DSM-IV","SCZ","Diagnostic","CECA-Q","CT, PA, SA, PL, AN, NG","Y","Negative family history of mood and psychotic disorders in first- and second-degree relatives",0.928219302739429,0.215111379616945,1.63899671467565,"N","Case-control",NA,"N","N",7,"Good","OR",2,"183",1,"0.464480874",1,"Unadjusted",0.131940431551647,"PA"
"10","Mwesiga et al.","2021","Comparison of antipsychotic na<U+00EF>ve first-episode psychosis patients and healthy controls in Uganda",NA,"Case-control",NA,"Uganda",NA,280,"198",82,"29.4",9,"29.1","8.8","30.2","9.4",NA,NA,88,192,62,136,26,56,"DSM-V, MINI","FEP","Diagnostic","CTQ","CT, EN, PA, EA, PN, SA","Y","no history of any mental disorder or any substances use, be seronegative for HIV/AIDS and syphillis",0.46373401623214,-0.0100503358535015,0.928219302739429,"N","Case-control",NA,"Y","Y",8,"Good","OR",3,"280",1,"0.314285714",1,"Unadjusted",0.0572905764984191,"PA"
